Patient ID,Pearson Correlation,Mutual Information,Bland Altman,PC_zscore,MI_zcore,BA_zscore,PC_FCM,MI_FCM,BA_FCM,PC_KDE,MI_KDE,BA_KDE,PC_WS,MI_WS,BA_WS
Pat119,5.445525874226053,0.95,0.33699998048484814,5.445525874226053,0.95,0.33699998254807073,5.445525874226053,0.95,0.3369999817517462,5.445525874226053,0.95,0.33699998203929404,5.445525874226053,0.94,0.3369999809097113
Pat120,5.191339646684951,0.96,0.7205049833335092,5.191339646684951,0.96,0.7205049832183748,5.191339646684951,0.96,0.7205049771376277,5.191339646684951,0.96,0.7205049806273917,5.191339646684951,0.96,0.7205049833520212
Pat122,5.4945344162213905,0.97,0.6818524672710644,5.4945344162213905,0.97,0.6818524726688164,5.4945344162213905,0.97,0.6818524672941448,5.4945344162213905,0.97,0.6818524684813567,5.4945344162213905,0.97,0.6818524659200426
Pat124,4.85977728568886,0.93,0.4944770804630331,4.85977728568886,0.94,0.4944770818475634,4.85977728568886,0.94,0.4944770777883754,4.85977728568886,0.94,0.4944770748244138,4.85977728568886,0.95,0.49447707903632854
Pat125,4.998151107719699,0.95,0.8220799540860841,4.998151107719699,0.96,0.8220799519638535,4.998151107719699,0.96,0.8220799519692946,4.998151107719699,0.96,0.8220799526043343,4.998151107719699,0.95,0.8220799546000551
Pat126,5.4114210484974485,0.95,0.541994928709411,5.4114210484974485,0.95,0.5419949289875566,5.4114210484974485,0.95,0.5419949249483988,5.4114210484974485,0.95,0.5419949308324172,5.4114210484974485,0.95,0.5419949285639
Pat127,1.7296252502257954,0.95,-0.09392507506683166,1.7296252502257954,0.95,-0.09392507435587137,1.7296252502257954,0.96,-0.09392507582786716,1.7296252502257954,0.96,-0.09392507740910255,1.7296252502257954,0.95,-0.09392507484100672
Pat128,5.000979200946018,0.93,0.7176985303783459,5.000979200946018,0.94,0.717698531730894,5.000979200946018,0.94,0.7176985361740472,5.000979200946018,0.94,0.7176985339428656,5.000979200946018,0.94,0.7176985308290114
Pat129,5.129771061746306,0.95,0.5999957994099033,5.129771061746306,0.94,0.5999958037192014,5.129771061746306,0.94,0.5999958001323084,5.129771061746306,0.94,0.5999957977541968,5.129771061746306,0.94,0.5999957946700691
Pat130,5.29852677620281,0.94,0.31007099421215073,5.29852677620281,0.94,0.3100709929881108,5.29852677620281,0.94,0.3100710016637523,5.29852677620281,0.94,0.31007099997410775,5.29852677620281,0.94,0.31007099260590565
Pat132,4.927886333076537,0.94,0.5948271387853291,4.927886333076537,0.95,0.5948271394394864,4.927886333076537,0.95,0.5948271409340001,4.927886333076537,0.95,0.5948271340035248,4.927886333076537,0.94,0.59482713625906
Pat133,4.930563562160353,0.95,0.5475528740333877,4.930563562160353,0.96,0.5475528707033155,4.930563562160353,0.96,0.5475528758537181,4.930563562160353,0.96,0.5475528701566188,4.930563562160353,0.96,0.5475528744842278
